row,original_name,ncbi_name
425,Fusobacterium periodontium,Fusobacterium periodonticum
426,Peptostreptococcus aeruginosa,Peptostreptococcus sp.
427,Corynebacterium durum (HOT 595),Corynebacterium durum
428,Corynebacterium matruchotii (HOT 666),Corynebacterium matruchotii
429,Haemophilus parainfluenzae (HOT 718),Haemophilus parainfluenzae
430,Neisseria unclassified,Neisseria sp.
431,Streptococcus unclassified,Streptococcus sp.
432,Actinobaculum HOT.183,Actinobaculum sp.
433,Actinomyces HOT.169,Actinomyces sp.
434,Actinomyces HOT.170,Actinomyces sp.
435,Actinomyces HOT.171,Actinomyces sp.
436,Actinomyces HOT.177,Actinomyces sp.
437,Actinomyces HOT.448,Actinomyces sp.
438,Actinomyces HOT.525,Actinomyces sp.
439,Actinomyces HOT.848,Actinomyces sp.
440,Actinomyces HOT.877,Actinomyces sp.
441,Actinomyces HOT.896,Actinomyces sp.
442,Aggregatibacter HOT.512,Aggregatibacter sp.
443,Aggregatibacter HOT.898,Aggregatibacter sp.
444,Alloprevotella HOT.473,Alloprevotella sp.
445,Alloprevotella HOT.912,Alloprevotella sp.
446,Alloprevotella HOT.913,Alloprevotella sp.
447,Alloprevotella HOT.914,Alloprevotella sp.
448,Atopobium HOT.416,Atopobium sp.
449,Atopobium sp,Atopobium sp.
450,Bacteroidales [G-3] HOT.911,uncultured Bacteroidales bacterium
451,Bacteroidetes [G-3] HOT.365,uncultured Bacteroidetes bacterium
452,Bacteroidetes [G-5] HOT.507,uncultured Bacteroidetes bacterium
453,Bdellovibrio HOT.039,Bdellovibrio sp.
454,Burkholderia cepacian,Burkholderia cepacia
455,Capnocytophaga HOT.863,Capnocytophaga sp.
456,Capnocytophaga HOT.901,Capnocytophaga sp.
457,Caulobacter HOT.002,Caulobacter sp.
458,Corynebacterium HOT.184,Corynebacterium sp.
459,Defluvibacter lusatiensis,Defluvibacter lusatiensis
460,Dietzia HOT.368,Dietzia sp.
461,Haemophilus HOT.908,Haemophilus sp.
462,Jonquetella anthropic,Jonquetella anthropi
463,Kocuria HOT.189,Kocuria sp.
464,Lachnospiraceae [G-5] HOT.455,uncultured Lachnospiraceae bacterium
465,Lactobacillus [XVII] catenaformis,Lactobacillus catenaformis
466,Lactobacillus buchneri,Lactobacillus buchneri
467,Leptothrix HOT.024,Leptothrix sp.
468,Megasphaera HOT.841,Megasphaera sp.
469,Mitsuokella HOT.131,Mitsuokella sp.
470,Mollicutes [G-2] HOT.906,uncultured Mollicutes bacterium
471,Moryella HOT.419,Moryella sp.
472,Neisseria weaver,Neisseria weaveri
473,Oribacterium HOT.372,Oribacterium sp.
474,Ottowia HOT.894,Ottowia sp.
475,Paenibacillus HOT.048,Paenibacillus sp.
476,Paenibacillus sp,Paenibacillus sp.
477,Peptococcus HOT.168,Peptococcus niger
478,Peptoniphilus HOT.836,Peptoniphilus sp.
479,Porphyromonas HOT.284,Porphyromonas sp.
480,Prevotella HOT.292,Prevotella sp.
481,Prevotella HOT.299,Prevotella sp.
482,Prevotella HOT.305,Prevotella sp.
483,Prevotella HOT.309,Prevotella sp.
484,Prevotella HOT.396,Prevotella sp.
485,Prevotella HOT.475,Prevotella sp.
486,Prevotella HOT.515,Prevotella sp.
487,Propionibacterium HOT.915,Propionibacterium sp.
488,Ralstonia HOT.027,Ralstonia sp.
489,Ralstonia HOT.406,Ralstonia sp.
490,Rhodocyclus HOT.028,Rhodocyclus sp.
491,Selenomonas HOT.478,Selenomonas sp.
492,Selenomonas HOT.501,Selenomonas sp.
493,Streptococcus HOT.066,Streptococcus sp.
494,Streptococcus HOT.068,Streptococcus sp.
495,Streptococcus HOT.070,Streptococcus sp.
496,TM7 [G-1] HOT.347,Candidatus Saccharimonadota bacterium
497,TM7 [G-2] HOT.350,Candidatus Saccharimonadota bacterium
498,TM7 [G-4] HOT.355,Candidatus Saccharimonadota bacterium
499,Veillonella HOT.917,Veillonella sp.
500,Acinetobacter baumannii HOT 554,Acinetobacter baumannii
501,Alloiococcus otitis HOT 831,Alloiococcus otitis
502,Bacillus anthracis HOT 824,Bacillus anthracis
503,Bacillus clausii HOT 45,Bacillus clausii
504,Bacillus subtilis HOT 468,Bacillus subtilis
505,Chlamydophila pneumoniae HOT 733,Chlamydophila pneumoniae
506,Corynebacterium diphtheriae HOT 591,Corynebacterium diphtheriae
507,Corynebacterium durum HOT 595,Corynebacterium durum
508,Corynebacterium urealyticum HOT 853,Corynebacterium urealyticum
509,Cronobacter sakazakii HOT 753,Cronobacter sakazakii
510,Dolosigranulum pigrum HOT 813,Dolosigranulum pigrum
511,Enterobacter hormaechei HOT 634,Enterobacter hormaechei
512,Enterococcus casseliflavus HOT 801,Enterococcus casseliflavus
513,Enterococcus durans HOT 880,Enterococcus durans
514,Enterococcus faecalis HOT 604,Enterococcus faecalis
515,Enterococcus italicus HOT 803,Enterococcus italicus
516,Enterococcus saccharolyticus HOT 802,Enterococcus saccharolyticus
517,Erysipelothrix tonsillarum HOT 484,Erysipelothrix tonsillarum
518,Escherichia coli HOT 574,Escherichia coli
519,Gemella haemolysans HOT 626,Gemella haemolysans
520,Gemella sanguinis HOT 757,Gemella sanguinis
521,Granulicatella adiacens HOT 534,Granulicatella adiacens
522,Granulicatella elegans HOT 596,Granulicatella elegans
523,Haemophilus aegyptius HOT 535,Haemophilus aegyptius
524,Haemophilus ducreyi HOT 821,Haemophilus ducreyi
525,Haemophilus haemolyticus HOT 851,Haemophilus haemolyticus
526,Haemophilus influenzae HOT 641,Haemophilus influenzae
527,Haemophilus parainfluenzae HOT 718,Haemophilus parainfluenzae
528,Kingella kingae HOT 646,Kingella kingae
529,Klebsiella pneumoniae HOT 731,Klebsiella pneumoniae
530,Lactobacillus acidophilus HOT 529,Lactobacillus acidophilus
531,Lactobacillus brevis HOT 558,Lactobacillus brevis
532,Lactobacillus buchneri HOT 881,Lactobacillus buchneri
533,Lactobacillus casei HOT 568,Lactobacillus casei
534,Lactobacillus colehominis HOT 816,Lactobacillus colehominis
535,Lactobacillus iners HOT 838,Lactobacillus iners
536,Lactobacillus johnsonii HOT 819,Lactobacillus johnsonii
537,Lactobacillus kisonensis HOT 424,Lactobacillus kisonensis
538,Lactobacillus oris HOT 709,Lactobacillus oris
539,Lactobacillus paracasei HOT 716,Lactobacillus paracasei
540,Lactobacillus parafarraginis HOT 418,Lactobacillus parafarraginis
541,Lactobacillus reuteri HOT 818,Lactobacillus reuteri
542,Lactobacillus vaginalis HOT 51,Lactobacillus vaginalis
543,Lactococcus lactis HOT 804,Lactococcus lactis
544,Listeria monocytogenes HOT 825,Listeria monocytogenes
545,Lysinibacillus fusiformis HOT 614,Lysinibacillus fusiformis
546,Neisseria flavescens HOT 610,Neisseria flavescens
547,Neisseria subflava HOT 476,Neisseria subflava
548,Ochrobactrum anthropi HOT 544,Ochrobactrum anthropi
549,Peptoniphilus indolicus HOT 840,Peptoniphilus indolicus
550,Peptoniphilus sp. oral taxon 375 HOT 375,Peptoniphilus sp.
551,Propionibacterium sp. oral taxon 192 HOT 192,Propionibacterium sp.
552,Pseudomonas fluorescens HOT 612,Pseudomonas fluorescens
553,Rhodobacter capsulatus HOT 857,Rhodobacter capsulatus
554,Rothia mucilaginosa HOT 681,Rothia mucilaginosa
555,Simonsiella muelleri HOT 683,Simonsiella muelleri
556,Staphylococcus aureus HOT 550,Staphylococcus aureus
557,Staphylococcus warneri HOT 76,Staphylococcus warneri
558,Stenotrophomonas maltophilia HOT 663,Stenotrophomonas maltophilia
559,Streptococcus agalactiae HOT 537,Streptococcus agalactiae
560,Streptococcus australis HOT 73,Streptococcus australis
561,Streptococcus downei HOT 594,Streptococcus downei
562,Streptococcus infantis HOT 638,Streptococcus infantis
563,Streptococcus mitis HOT 677,Streptococcus mitis
564,Streptococcus oligofermentans HOT 886,Streptococcus oligofermentans
565,Streptococcus oralis HOT 707,Streptococcus oralis
566,Streptococcus parasanguinis HOT 721,Streptococcus parasanguinis
567,Streptococcus parasanguinis II HOT 411,Streptococcus parasanguinis
568,Streptococcus peroris HOT 728,Streptococcus peroris
569,Streptococcus pneumoniae HOT 734,Streptococcus pneumoniae
570,Streptococcus pyogenes HOT 745,Streptococcus pyogenes
571,Streptococcus sanguinis HOT 758,Streptococcus sanguinis
572,Streptococcus sp. oral taxon 056 HOT 56,Streptococcus sp.
573,Streptococcus sp. oral taxon 058 HOT 58,Streptococcus sp.
574,Streptococcus sp. oral taxon 066 HOT 66,Streptococcus sp.
575,Yersinia pestis HOT 827,Yersinia pestis
576,Actinomyces viscosus II,Actinomyces viscosus
577,Fusobacterium nucleatum spp. vincentii (strain 49),Fusobacterium nucleatum subsp. vincentii
578,G2 sp. ot131,uncultured Bacteroidales bacterium
579,Actinomyces gerencseriae _ot618,Actinomyces gerencseriae
580,G2 sp. ot274,uncultured Bacteroidales bacterium
581,Bergeyella sp. _ot322,Bergeyella sp.
582,Burkholderia cepacia _ot571,Burkholderia cepacia
583,Campylobacter Cluster1_ot580_748_763,Campylobacter curvus;Campylobacter rectus;Campylobacter showae
584,Campylobacter gracilis_ot623,Campylobacter gracilis
585,Campylobacter showae_ot763,Campylobacter showae
586,Capnocytophaga granulosa_ot325_326,Capnocytophaga granulosa
587,Capnocytophaga sputigena_ot775,Capnocytophaga sputigena
588,Cardiobacterium hominis_ot633,Cardiobacterium hominis
589,Eubacterium saburreum_ot494,Eubacterium saburreum
590,Lachnospiraceae sp._ot082,uncultured Lachnospiraceae bacterium
591,Fusobacterium nucleatum ss. nucleatum and animalis_ot420_698,Fusobacterium nucleatum subsp. nucleatum;Fusobacterium animalis
592,Haemophilus parainfluenzae_ot718,Haemophilus parainfluenzae
593,Kingella oralis and Neisseria sp._ot009_706,Kingella oralis;Neisseria sp.
594,Kingella oralis_ot706,Kingella oralis
595,Lautropia mirabilis_ot022,Lautropia mirabilis
596,Leptotrichia buccalis and goodfellowii_ot563,Leptotrichia buccalis;Leptotrichia goodfellowii
597,Leptotrichia hofstadii_ot223_224,Leptotrichia hofstadii
598,Leptotrichia hofstadii_ot224,Leptotrichia hofstadii
599,Prevotella loescheii_ot472_658,Prevotella loescheii
600,Selenomonas noxia_ot130_140,Selenomonas noxia
601,Streptococcus cristatus_ot058_578,Streptococcus cristatus
602,Streptococcus mitis bv2_ot069_39,Streptococcus mitis
603,Streptococcus sp. HansH6 and 7A_ot070_071,Streptococcus sp.
604,Tannerella sp._ot286,Tannerella sp.
605,Actinomyces naeslundii HOT 176 V1 2 176,Actinomyces naeslundii
606,Actinomyces oris HOT 893 V1 2 325,Actinomyces oris
607,Fusobacterium sp V1 2 447,Fusobacterium sp.
608,Gemella haemolysans HOT 626 V1-2 153,Gemella haemolysans
609,Haemophilus sp V1 2 337,Haemophilus sp.
610,Neisseria flavescens HOT 610 V1 2 49,Neisseria flavescens
611,Moraxella sp V1 2 156,Moraxella sp.
612,Selenomonas noxia HOT 130 V1 2 141,Selenomonas noxia
613,Selenomonas noxia HOT 130 V1 2 39,Selenomonas noxia
614,Selenomonas sp V1 2 84,Selenomonas sp.
615,Streptococcus sp V1 2 160,Streptococcus sp.
616,Streptococcus sp HOT 065 V1 2 280,Streptococcus sp.
617,Streptococcus sp V1 2 15,Streptococcus sp.
618,Streptococcus sp V1 2 324,Streptococcus sp.
619,Streptococcus sp V1 2 554,Streptococcus sp.
620,TM7 G1 sp HOT 347 V1 2 238,Candidatus Saccharimonadota bacterium
621,Actinomyces oral taxon 170,Actinomyces sp.
622,Streptococcus sanguis,Streptococcus sanguinis
623,Actinomyces naeslundii oral taxon 176,Actinomyces naeslundii
624,Capnocytophaga gingivalis oral taxon 337,Capnocytophaga gingivalis
625,Corynebacterium durum oral taxon 595,Corynebacterium durum
626,Corynebacterium matruchotii oral taxon 666,Corynebacterium matruchotii
627,Fusobacterium nucleatum subsp. polymorphum oral taxon 202,Fusobacterium nucleatum subsp. polymorphum
628,Gemella haemolysans oral taxon 626,Gemella haemolysans
629,Granulicatella adiacens oral taxon 534,Granulicatella adiacens
630,Rothia aeria oral taxon 188,Rothia aeria
631,Rothia dentocariosa oral taxon 587,Rothia dentocariosa
632,Streptococcus cristatus oral taxon 578,Streptococcus cristatus
633,Streptococcus gordonii oral taxon 622,Streptococcus gordonii
634,Streptococcus mitis oral taxon 677,Streptococcus mitis
635,Streptococcus mitis bv2 oral taxon 398,Streptococcus mitis
636,Streptococcus sanguis oral taxon 758,Streptococcus sanguinis
637,Streptococcus sp. oral taxon 64,Streptococcus sp.
638,Streptococcus vestibularis oral taxon 21,Streptococcus vestibularis
639,Veillonella parvula oral taxon 161,Veillonella parvula
640,Unclassified FX006 -,uncultured bacterium
641,Aggregatibacter DQ003635,Aggregatibacter sp.
642,Aggregatibacter Other,Aggregatibacter sp.
643,Campylobacter Other,Campylobacter sp.
644,Capnocytophaga Other,Capnocytophaga sp.
645,Capnocytophaga X089,Capnocytophaga sp.
646,Corynebacterium Other,Corynebacterium sp.
647,Kingella Other,Kingella sp.
648,Leptotrichia Other,Leptotrichia sp.
649,Neisseria flava mucosa pharyngis,Neisseria flava;Neisseria mucosa;Neisseria pharyngis
650,Porphyromonas CW034,Porphyromonas sp.
651,Porphyromonas Other,Porphyromonas sp.
652,Prevotella oral taxon 781,Prevotella sp.
653,Propionibacterium Other,Propionibacterium sp.
654,- SR1 AF125207,Candidatus SR1 bacterium
655,Tannerella BU063,Tannerella sp.
656,Uncultured Lachnospiraceae Oral taxon 100,uncultured Lachnospiraceae bacterium
657,Unclassified Comamonadaceae Other,uncultured Comamonadaceae bacterium
658,Actinomyces viscosus naeslundii oris,Actinomyces viscosus;Actinomyces naeslundii;Actinomyces oris
659,Aggregatibacter aprophilus,Aggregatibacter aphrophilus
660,Kingella sp.,Kingella sp.
661,Prevotella BS041,Prevotella sp.
662,SR1 AF125207,Candidatus SR1 bacterium
663,Uncultured Lachnospiraceae sp.,uncultured Lachnospiraceae bacterium
664,Uncultured Lachnospiraceae oral taxon 100,uncultured Lachnospiraceae bacterium
665,Escherichia coli HOT574/AA74,Escherichia coli
666,Gemella haemolysans HOT626/AG51,Gemella haemolysans
667,Gemella haemolysans HOT626/Globicatella sanguinis HOT757/K63,Gemella haemolysans;Globicatella sanguinis
668,Granulicatella adiacens HOT534/AB30,Granulicatella adiacens
669,Granulicatella adiacens HOT534/Granulicatella elegans HOT596,Granulicatella adiacens;Granulicatella elegans
670,Granulicatella elegans HOT596/AB29,Granulicatella elegans
671,Haemophilus parainfluenzae HOT718/W79,Haemophilus parainfluenzae
672,Klebsiella pneumoniae HOT731/Klebsiella pneumonia ss ozaenae,Klebsiella pneumoniae;Klebsiella ozaenae
673,Neisseria polysaccharea HOT737,Neisseria polysaccharea
674,Pseudomonas Cluster/096,Pseudomonas sp.
675,Rothia dentocariosa HOT587/W98,Rothia dentocariosa
676,Salmonella infantis HOT638,Salmonella infantis
677,Streptococcus sp. HOT065/Y74,Streptococcus sp.
678,Streptococcus australis HOT073/AH32,Streptococcus australis
679,Streptococcus australis HOT073/AH33,Streptococcus australis
680,Streptococcus oralis HOT707,Streptococcus oralis
681,Streptococcus parasanguinis I HOT721,Streptococcus parasanguinis
682,Streptococcus salivarius HOT755/Streptococcus vestibularis A,Streptococcus salivarius;Streptococcus vestibularis
683,Lachnospiraceae oral taxon 082,uncultured Lachnospiraceae bacterium
684,Lachnospiraceae oral taxon 107,uncultured Lachnospiraceae bacterium
685,Aggregatibacter (no species provided),Aggregatibacter sp.
686,Treponema socranskii ss. buccale,Treponema socranskii subsp. buccale
687,Actinomyces gerencseriae OT 618,Actinomyces gerencseriae
688,Actinomyces sp. OT 170,Actinomyces sp.
689,Actinomyces naeslundii OT 176,Actinomyces naeslundii
690,Actinomyces odontolyticus OT 701,Actinomyces odontolyticus
691,Actinomyces sp. OT 169,Actinomyces sp.
692,Actinomyces sp. OT 175,Actinomyces sp.
693,Actinomyces sp. OT 177,Actinomyces sp.
694,Porphyromonas catoniae OT 283,Porphyromonas catoniae
695,Burkholderia cepacia OT 571,Burkholderia cepacia
696,Rothia dentocariosa OT 587,Rothia dentocariosa
697,Streptococcus sanguinis OT 758,Streptococcus sanguinis
698,Veillonellaceae [G-1] sp. OT 155,uncultured Veillonellaceae bacterium
699,Unclassified Xanthomonadaceae,uncultured Xanthomonadaceae bacterium
700,Selenomonas spp.,Selenomonas sp.
701,Rothia dentocariosa/mucilaginosa,Rothia dentocariosa;Rothia mucilaginosa
702,Actinomyces naeslundii 1,Actinomyces naeslundii
703,Actinomyces naeslundii genospecies I,Actinomyces naeslundii
704,Actinomyces naeslundii genospecies II,Actinomyces naeslundii
