"","Family","Genus","Species","Species w/o duplicates","Species w/o duplicates - condensed","Species w/ numerical values","Genus w/ numerical values","Species w/ numerical values - condensed","New Genus Name","New Species Name","Notes"
"179","Porphyromonadaceae","Porphyromonas","endodontalis (294287)","endodontalis (294287)","Enterobacter cancerogenus OT 565","Enterobacter cancerogenus OT 565",NA,NA,NA,NA,NA
"180","Porphyromonadaceae","Porphyromonas","gingivalis (509140)","gingivalis (509140)","Streptococcus spp.",NA,NA,NA,NA,NA,NA
"181","Porphyromonadaceae","Porphyromonas-like","sp. (9988934)","sp. (9988934)","Veillonella spp.",NA,NA,NA,NA,NA,NA
"182","Porphyromonadaceae","Porphyromonas-like","sp. (9988935)","sp. (9988935)","Eubacterium [XI][G-3] brachy OT 557","Eubacterium [XI][G-3] brachy OT 557",NA,NA,NA,NA,NA
"183","Prevotellaceae","Prevotella","bivia (294429)","bivia (294429)","Eubacterium [XI][G-5] saphenum OT 759","Eubacterium [XI][G-5] saphenum OT 759",NA,NA,NA,NA,NA
"184","Prevotellaceae","Prevotella","buccae (294432)","buccae (294432)","Eubacterium [XI][G-6] nodatum OT 694","Eubacterium [XI][G-6] nodatum OT 694",NA,NA,NA,NA,NA
"185","Prevotellaceae","Prevotella","buccalis (294430)","buccalis (294430)","Filifactor alocis OT 539","Filifactor alocis OT 539",NA,NA,NA,NA,NA
"186","Prevotellaceae","Prevotella","dentalis (1565276)","dentalis (1565276)","Peptostreptococcaceae [XI][G-2] sp. OT 091","Peptostreptococcaceae [XI][G-2] sp. OT 091",NA,NA,NA,NA,NA
"187","Prevotellaceae","Prevotella","denticola (294420)","denticola (294420)","sp. OT 362","sp. OT 362",NA,NA,NA,NA,NA
"188","Prevotellaceae","Prevotella","enoeca (3114912)","enoeca (3114912)","sp. OT 363","sp. OT 363",NA,NA,NA,NA,NA
"189","Prevotellaceae","Prevotella","intermedia (294422)","intermedia (294422)","sp. OT 349","sp. OT 349",NA,NA,NA,NA,NA
"190","Prevotellaceae","Prevotella","nigrescens (294425)","nigrescens (294425)","sp. OT 356","sp. OT 356",NA,NA,NA,NA,NA
"191","Prevotellaceae","Prevotella","nigrescens (509071)","nigrescens (509071)","forsythia OT 613","forsythia OT 613",NA,NA,NA,NA,NA
"192","Prevotellaceae","Prevotella","oralis (294434)","oralis (294434)","lecithinolyticum OT 653","lecithinolyticum OT 653",NA,NA,NA,NA,NA
"193","Prevotellaceae","Prevotella","oris (294428)","oris (294428)","maltophilum OT 664","maltophilum OT 664",NA,NA,NA,NA,NA
"194","Prevotellaceae","Prevotella","pallens (2108322)","pallens (2108322)","socranskii OT 769","socranskii OT 769",NA,NA,NA,NA,NA
"195","Prevotellaceae","Prevotella","sp. (14537917)","sp. (14537917)","sp. OT 145","sp. OT 145",NA,NA,NA,NA,NA
"196","Prevotellaceae","Prevotella","sp. (14537920)","sp. (14537920)","sp. OT 280","sp. OT 280",NA,NA,NA,NA,NA
"197","Prevotellaceae","Prevotella","sp. (14537923)","sp. (14537923)","sp. OT 516","sp. OT 516",NA,NA,NA,NA,NA
"198","Prevotellaceae","Prevotella","sp. (14537927)","sp. (14537927)","minutum OT 673","minutum OT 673",NA,NA,NA,NA,NA
"199","Prevotellaceae","Prevotella","sp. (14537960)","sp. (14537960)","sp. OT 373","sp. OT 373",NA,NA,NA,NA,NA
"200","Prevotellaceae","Prevotella","sp. (14537973)","sp. (14537973)","faucium OT 606","faucium OT 606",NA,NA,NA,NA,NA
"201","Prevotellaceae","Prevotella","sp. (29165644)","sp. (29165644)","stomatis OT 112","stomatis OT 112",NA,NA,NA,NA,NA
"202","Prevotellaceae","Prevotella","sp. (9988917)","sp. (9988917)","alactolyticus OT 538","alactolyticus OT 538",NA,NA,NA,NA,NA
"203","Prevotellaceae","Prevotella","sp. (9988918)","sp. (9988918)","constellatus OT 576","constellatus OT 576",NA,NA,NA,NA,NA
"204","Prevotellaceae","Prevotella","sp. (9988920)","sp. (9988920)","sp. OT 361","sp. OT 361",NA,NA,NA,NA,NA
"205","Prevotellaceae","Prevotella","sp. (9988923)","sp. (9988923)","sp. OT 257","sp. OT 257",NA,NA,NA,NA,NA
"206","Prevotellaceae","Prevotella","sp. (9988929)","sp. (9988929)","endonticula",NA,NA,NA,NA,NA,NA
"207","Prevotellaceae","Prevotella","tannerae (10039600)","tannerae (10039600)","sp. CS002 (OT 131)","sp. CS002 (OT 131)",NA,NA,NA,NA,NA
"208","Prevotellaceae","Prevotella","veroralis (294427)","veroralis (294427)",NA,NA,NA,NA,NA,NA,NA
"209","Prevotellaceae","Prevotella","zoogleoformans (289379)","zoogleoformans (289379)",NA,NA,NA,NA,NA,NA,NA
"210","Selenomonadaceae","Selenomonas","sp. (9837488)","sp. (9837488)",NA,NA,NA,NA,NA,NA,NA
"211","Selenomonadaceae","Selenomonas","sp. (9837490)","sp. (9837490)",NA,NA,NA,NA,NA,NA,NA
"212","Staphylococcaceae","Staphylococcus","epidermidis (1199945)","epidermidis (1199945)",NA,NA,NA,NA,NA,NA,NA
"213","Staphylococcaceae","Staphylococcus","xylosus (1199956)","xylosus (1199956)",NA,NA,NA,NA,NA,NA,NA
"214","Streptococcaceae","Streptococcus","gordonii (2183315)","gordonii (2183315)",NA,NA,NA,NA,NA,NA,NA
"215","Streptococcaceae","Streptococcus","sobrinus (5578902)","sobrinus (5578902)",NA,NA,NA,NA,NA,NA,NA
"216","Streptococcaceae","Streptococcus","sp. (16612184)","sp. (16612184)",NA,NA,NA,NA,NA,NA,NA
"217","Streptococcaceae","Streptococcus","sp. (9988906)","sp. (9988906)",NA,NA,NA,NA,NA,NA,NA
"218","Tannerellaceae","Tannerella","forsythia (10946530)","forsythia (10946530)",NA,NA,NA,NA,NA,NA,NA
"219","Tannerellaceae","Tannerella","forsythia (289382)","forsythia (289382)",NA,NA,NA,NA,NA,NA,NA
"220","Unclassified","TM7 phylum","sp. (14537928)","sp. (14537928)",NA,NA,NA,NA,NA,NA,NA
"221","Spirochaetaceae","Treponema","denticola (4580728)","denticola (4580728)",NA,NA,NA,NA,NA,NA,NA
"222","Spirochaetaceae","Treponema","socranskii (2653627)","socranskii (2653627)",NA,NA,NA,NA,NA,NA,NA
"223","Spirochaetaceae","Treponema","socranskii (2653630)","socranskii (2653630)",NA,NA,NA,NA,NA,NA,NA
"224","Spirochaetaceae","Treponema","sp. (14537906)","sp. (14537906)",NA,NA,NA,NA,NA,NA,NA
"225","Spirochaetaceae","Treponema","sp. (2586354)","sp. (2586354)",NA,NA,NA,NA,NA,NA,NA
"226","Spirochaetaceae","Treponema","sp. (2586355)","sp. (2586355)",NA,NA,NA,NA,NA,NA,NA
"227","Spirochaetaceae","Treponema","sp. (2586361)","sp. (2586361)",NA,NA,NA,NA,NA,NA,NA
"228","Spirochaetaceae","Treponema","sp. (2586364)","sp. (2586364)",NA,NA,NA,NA,NA,NA,NA
"229","Spirochaetaceae","Treponema","sp. (2586367)","sp. (2586367)",NA,NA,NA,NA,NA,NA,NA
"230","Spirochaetaceae","Treponema","sp. (3132614)","sp. (3132614)",NA,NA,NA,NA,NA,NA,NA
"231","Unclassified","Uncultured bacterium","sp. (4530523)","sp. (4530523)",NA,NA,NA,NA,NA,NA,NA
"232","Unclassified","Uncultured bacterium","sp. (4680614)","sp. (4680614)",NA,NA,NA,NA,NA,NA,NA
"233","Unclassified","Uncultured bacterium","sp. (9858892)","sp. (9858892)",NA,NA,NA,NA,NA,NA,NA
"234","Unclassified","Uncultured human","sp. (6671255)","sp. (6671255)",NA,NA,NA,NA,NA,NA,NA
"235","Veillonellaceae","Veillonella","dispar (793883)","dispar (793883)",NA,NA,NA,NA,NA,NA,NA
"236","Selenomonadaceae","Selenomonas","sputigena","Selenomonas sputigena",NA,NA,NA,NA,NA,NA,NA
"237","Tannerellaceae","Tannerella","forsythia","Tannerella forsythia",NA,NA,NA,NA,NA,NA,NA
"238","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"239","Dialisteraceae","Dialister","pneumosintes","Dialister pneumosintes",NA,NA,NA,NA,NA,NA,NA
"240","Filifactoraceae","Filifactor","alocis","Filifactor alocis",NA,NA,NA,NA,NA,NA,NA
"241","Porphyromonadaceae","Porphyromonas","endodontalis","Porphyromonas endodontalis",NA,NA,NA,NA,NA,NA,NA
"242","Bacteroidaceae","Bacteroidales sp.","Bacteroidales sp. HOT 274","Bacteroidales sp. HOT 274",NA,NA,NA,NA,NA,NA,NA
"243","Filifactoraceae","Filifactor","Filifactor alocis HOT 539","Filifactor alocis HOT 539",NA,NA,NA,NA,NA,NA,NA
"244","Fretibacteriaceae","Fretibacterium","Fretibacterium fastidiosum HOT 363","Fretibacterium fastidiosum HOT 363",NA,NA,NA,NA,NA,NA,NA
"245","Fretibacteriaceae","Fretibacterium","Fretibacterium sp. HOT 360","Fretibacterium sp. HOT 360",NA,NA,NA,NA,NA,NA,NA
"246","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis HOT 619","Porphyromonas gingivalis HOT 619",NA,NA,NA,NA,NA,NA,NA
"247","Selenomonadaceae","Selenomonas","Selenomonas sputigena HOT 151","Selenomonas sputigena HOT 151",NA,NA,NA,NA,NA,NA,NA
"248","Tannerellaceae","Tannerella","Tannerella forsythia HOT 613","Tannerella forsythia HOT 613",NA,NA,NA,NA,NA,NA,NA
"249","Unclassified","TM7","TM7 sp. HOT 356","TM7 sp. HOT 356",NA,NA,NA,NA,NA,NA,NA
"250","Capnocytophagaceae","Capnocytophaga","ochracea","ochracea",NA,NA,NA,NA,NA,NA,NA
"251","Eubacteriaceae","Eubacterium","saphenum",NA,NA,NA,NA,NA,NA,NA,NA
"252","Porphyromonadaceae","Porphyromonas","endodontalis",NA,NA,NA,NA,NA,NA,NA,NA
"253","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"254","Porphyromonadaceae","Tannerella","forsythia","forsythia",NA,NA,NA,NA,NA,NA,NA
"255","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"256","Spirochaetaceae","Treponema","lecithinolyticum",NA,NA,NA,NA,NA,NA,NA,NA
"257","Campylobacteraceae","Campylobacter","rectus",NA,NA,NA,NA,NA,NA,NA,NA
"258","Fusobacteriaceae","Fusobacterium","nucleatum",NA,NA,NA,NA,NA,NA,NA,NA
"259","Abiotrophiaceae","Abiotrophia","defectiva HOT 389","defectiva HOT 389",NA,NA,NA,NA,NA,NA,NA
"260","Prevotellaceae","Alloprevotella","rava HOT 302","rava HOT 302",NA,NA,NA,NA,NA,NA,NA
"261","Prevotellaceae","Alloprevotella","tannerae HOT 466","tannerae HOT 466",NA,NA,NA,NA,NA,NA,NA
"262","Peptoniphilaceae","Anaeroglobus","geminatus HOT 121","geminatus HOT 121",NA,NA,NA,NA,NA,NA,NA
"263","Atopobiaceae","Atopobium","sp. oral taxon 199 HOT 199","sp. oral taxon 199 HOT 199",NA,NA,NA,NA,NA,NA,NA
"264","Bacteroidaceae","Bacteroidaceae[G-1]","sp. oral taxon 272 HOT 272","sp. oral taxon 272 HOT 272",NA,NA,NA,NA,NA,NA,NA
"265","Campylobacteraceae","Campylobacter","rectus HOT 748","rectus HOT 748",NA,NA,NA,NA,NA,NA,NA
"266","Eubacteriaceae","Centipeda","periodontii HOT 726","periodontii HOT 726",NA,NA,NA,NA,NA,NA,NA
"267","Desulfobulbaceae","Desulfobulbus","sp. oral taxon 041 HOT 41","sp. oral taxon 041 HOT 41",NA,NA,NA,NA,NA,NA,NA
"268","Eubacteriaceae","Eubacterium[11][G-5]","saphenum HOT 759","saphenum HOT 759",NA,NA,NA,NA,NA,NA,NA
"269","Eubacteriaceae","Eubacterium[11][G-7]","yurii HOT 377","yurii HOT 377",NA,NA,NA,NA,NA,NA,NA
"270","Eubacteriaceae","Filifactor","alocis HOT 539","alocis HOT 539",NA,NA,NA,NA,NA,NA,NA
"271","Leptotrichiaceae","Fretibacterium","fastidiosum HOT 363","fastidiosum HOT 363",NA,NA,NA,NA,NA,NA,NA
"272","Propionibacteriaceae","Johnsonella","ignava HOT 635","ignava HOT 635",NA,NA,NA,NA,NA,NA,NA
"273","Carnobacteriaceae","Jonquetella","anthropi HOT 777","anthropi HOT 777",NA,NA,NA,NA,NA,NA,NA
"274","Carnobacteriaceae","Olsenella","uli HOT 38","uli HOT 38",NA,NA,NA,NA,NA,NA,NA
"275","Peptoniphilaceae","Peptoniphilus","sp. oral taxon 386 HOT 386","sp. oral taxon 386 HOT 386",NA,NA,NA,NA,NA,NA,NA
"276","Porphyromonadaceae","Porphyromonas","endodontalis HOT 273",NA,NA,NA,NA,NA,NA,NA,NA
"277","Porphyromonadaceae","Porphyromonas","gingivalis HOT 619",NA,NA,NA,NA,NA,NA,NA,NA
"278","Prevotellaceae","Prevotella","buccae HOT 560","buccae HOT 560",NA,NA,NA,NA,NA,NA,NA
"279","Prevotellaceae","Prevotella","dentalis HOT 583","dentalis HOT 583",NA,NA,NA,NA,NA,NA,NA
"280","Prevotellaceae","Prevotella","intermedia HOT 643","intermedia HOT 643",NA,NA,NA,NA,NA,NA,NA
"281","Prevotellaceae","Prevotella","multiformis HOT 685","multiformis HOT 685",NA,NA,NA,NA,NA,NA,NA
"282","Prevotellaceae","Pyramidobacter","piscolens HOT 357","piscolens HOT 357",NA,NA,NA,NA,NA,NA,NA
"283","Actinobacteriaceae","Scardovia","inopinata HOT 642","inopinata HOT 642",NA,NA,NA,NA,NA,NA,NA
"284","Lachnospiraceae","Slackia","exigua HOT 602","exigua HOT 602",NA,NA,NA,NA,NA,NA,NA
"285","Tannerellaceae","Tannerella","forsythia HOT 613",NA,NA,NA,NA,NA,NA,NA,NA
"286","Spirochaetaceae","Treponema","denticola HOT 584",NA,NA,NA,NA,NA,NA,NA,NA
"287","Spirochaetaceae","Treponema","maltophilum HOT 664","maltophilum HOT 664",NA,NA,NA,NA,NA,NA,NA
"288","Spirochaetaceae","Treponema","medium HOT 667","medium HOT 667",NA,NA,NA,NA,NA,NA,NA
"289","Spirochaetaceae","Treponema","pallidum HOT 805","pallidum HOT 805",NA,NA,NA,NA,NA,NA,NA
"290","Spirochaetaceae","Treponema","socranskii HOT 769",NA,NA,NA,NA,NA,NA,NA,NA
"291","Spirochaetaceae","Treponema","vincentii HOT 29","vincentii HOT 29",NA,NA,NA,NA,NA,NA,NA
"292","Dialisteraceae","Dialister","pneumosintes","pneumosintes",NA,NA,NA,NA,NA,NA,NA
"293","Pasteurellaceae","Eikenella","corrodens","corrodens",NA,NA,NA,NA,NA,NA,NA
"294","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"295","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"296","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"297","Fusobacteriaceae","Fusobacterium","nucleatum",NA,NA,NA,NA,NA,NA,NA,NA
"298","Peptoniphilaceae","Parvimonas","micra","micra",NA,NA,NA,NA,NA,NA,NA
"299","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"300","Prevotellaceae","Prevotella","intermedia",NA,NA,NA,NA,NA,NA,NA,NA
"301","Prevotellaceae","Prevotella","nigrescens",NA,NA,NA,NA,NA,NA,NA,NA
"302","Selenomonadaceae","Selenomonas","sputigena",NA,NA,NA,NA,NA,NA,NA,NA
"303","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"304","Streptococcaceae","Streptococcus","sanguinis",NA,NA,NA,NA,NA,NA,NA,NA
"305","Eubacteriaceae","Eubacterium","11G6 nodatum_ot694","11G6 nodatum_ot694",NA,NA,NA,NA,NA,NA,NA
"306","Eubacteriaceae","Eubacterium","11G7 yurii_ot377","11G7 yurii_ot377",NA,NA,NA,NA,NA,NA,NA
"307","Selenomonadaceae","Selenomonas","sputigena_ot143_151","sputigena_ot143_151",NA,NA,NA,NA,NA,NA,NA
"308","Streptococcaceae","Streptococcus","anginosus and gordonii_ot543_622","anginosus and gordonii_ot543_622",NA,NA,NA,NA,NA,NA,NA
"309","Streptococcaceae","Streptococcus","gordonii",NA,NA,NA,NA,NA,NA,NA,NA
"310","Actinomycetaceae","Actinomyces","cardiffensis HOT 850 V1-2 190","cardiffensis HOT 850 V1-2 190",NA,NA,NA,NA,NA,NA,NA
"311","Actinomycetaceae","Actinomyces","israelii HOT 645 V1-2 108","israelii HOT 645 V1-2 108",NA,NA,NA,NA,NA,NA,NA
"312","Actinomycetaceae","Actinomyces","sp. V1-2 517","sp. V1-2 517",NA,NA,NA,NA,NA,NA,NA
"313","Veillonellaceae","Anaeroglobus","sp. V1-2 246","sp. V1-2 246",NA,NA,NA,NA,NA,NA,NA
"314","Peptostreptococcaceae","Anaerovorax","sp. V1-2 302","sp. V1-2 302",NA,NA,NA,NA,NA,NA,NA
"315","Atopobiaceae","Atopobium","rimae HOT 750 V1-2 82","rimae HOT 750 V1-2 82",NA,NA,NA,NA,NA,NA,NA
"316","Bacteroidaceae","Bacteroidaceae G1","sp. HOT 272 V1-2 140","sp. HOT 272 V1-2 140",NA,NA,NA,NA,NA,NA,NA
"317","Bacteroidaceae","Bacteroides","heparinolyticus HOT 630 V1-2 448","heparinolyticus HOT 630 V1-2 448",NA,NA,NA,NA,NA,NA,NA
"318","Porphyromonadaceae","Bacteroidetes G3","sp. HOT 280 V1-2 409","sp. HOT 280 V1-2 409",NA,NA,NA,NA,NA,NA,NA
"319","Comamonadaceae","Brachymonas","sp. V1-2 189","sp. V1-2 189",NA,NA,NA,NA,NA,NA,NA
"320","Anaerolineaceae","Chloroflexi G1","sp. HOT 439 V1-2 347","sp. HOT 439 V1-2 347",NA,NA,NA,NA,NA,NA,NA
"321","Clostridiaceae","Clostridiales F2 G1","sp. HOT 075 V1-2 267","sp. HOT 075 V1-2 267",NA,NA,NA,NA,NA,NA,NA
"322","Clostridiaceae","Clostridiates","sp. V1-2 247","sp. V1-2 247",NA,NA,NA,NA,NA,NA,NA
"323","Desulfobulbaceae","Desulfobulbus","sp. HOT 041 V1-2 11","sp. HOT 041 V1-2 11",NA,NA,NA,NA,NA,NA,NA
"324","Veillonellaceae","Dialister","sp. V1-2 146","sp. V1-2 146",NA,NA,NA,NA,NA,NA,NA
"325","Coriobacteriaceae","Eggerthia","sp. V1-2 293","sp. V1-2 293",NA,NA,NA,NA,NA,NA,NA
"326","Erysipelotrichaceae","Erysipelotrichaceae G1","sp. HOT 905 V1-2 380","sp. HOT 905 V1-2 380",NA,NA,NA,NA,NA,NA,NA
"327","Eubacteriaceae","Eubacterium XI G6","sp. V1-2 55","sp. V1-2 55",NA,NA,NA,NA,NA,NA,NA
"328","Peptostreptococcaceae","Filifactor","alocis HOT 539 V1-2 126","alocis HOT 539 V1-2 126",NA,NA,NA,NA,NA,NA,NA
"329","Peptostreptococcaceae","Filifactor","sp. V1-2 200","sp. V1-2 200",NA,NA,NA,NA,NA,NA,NA
"330","Peptostreptococcaceae","Filifactor","sp. V1-2 560","sp. V1-2 560",NA,NA,NA,NA,NA,NA,NA
"331","Synergistaceae","Fretibacterium","fastidiosum HOT 363 V1-2 268","fastidiosum HOT 363 V1-2 268",NA,NA,NA,NA,NA,NA,NA
"332","Synergistaceae","Fretibacterium","fastidiosum HOT 363 V1-2 50","fastidiosum HOT 363 V1-2 50",NA,NA,NA,NA,NA,NA,NA
"333","Synergistaceae","Fretibacterium","sp. HOT 360 V1-2 22","sp. HOT 360 V1-2 22",NA,NA,NA,NA,NA,NA,NA
"334","Synergistaceae","Fretibacterium","sp. HOT 453 V1-2 101","sp. HOT 453 V1-2 101",NA,NA,NA,NA,NA,NA,NA
"335","Synergistaceae","Fretibacterium","sp. V1-2 64","sp. V1-2 64",NA,NA,NA,NA,NA,NA,NA
"336","Synergistaceae","Fretibacterium","sp. V1-2 73","sp. V1-2 73",NA,NA,NA,NA,NA,NA,NA
"337","Fusobacteriaceae","Fusobacterium","nucleatum ss. nucleatum HOT 698 V1-2 427","nucleatum ss. nucleatum HOT 698 V1-2 427",NA,NA,NA,NA,NA,NA,NA
"338","Fusobacteriaceae","Fusobacterium","nucleatum ss. vincentii HOT 200 V1-2 245","nucleatum ss. vincentii HOT 200 V1-2 245",NA,NA,NA,NA,NA,NA,NA
"339","Fusobacteriaceae","Fusobacterium","nucleatum ss. vincentii HOT 200 V1-2 68","nucleatum ss. vincentii HOT 200 V1-2 68",NA,NA,NA,NA,NA,NA,NA
"340","Peptostreptococcaceae","Mogibacterium","timidum HOT 42 V1-2 145","timidum HOT 42 V1-2 145",NA,NA,NA,NA,NA,NA,NA
"341","Mycoplasmataceae","Mycoplasma","faucium HOT 606 V1-2 192","faucium HOT 606 V1-2 192",NA,NA,NA,NA,NA,NA,NA
"342","Mycoplasmataceae","Mycoplasma","salivarium HOT 754 V1-2 241","salivarium HOT 754 V1-2 241",NA,NA,NA,NA,NA,NA,NA
"343","Atopobiaceae","Olsenella","uli HOT 038 V1-2 208","uli HOT 038 V1-2 208",NA,NA,NA,NA,NA,NA,NA
"344","Peptostreptococcaceae","Peptostreptococcus","stomatis HOT 112 V1-2 303","stomatis HOT 112 V1-2 303",NA,NA,NA,NA,NA,NA,NA
"345","Porphyromonadaceae","Porphyromonas","gingivalis HOT 619 V1-2 2","gingivalis HOT 619 V1-2 2",NA,NA,NA,NA,NA,NA,NA
"346","Porphyromonadaceae","Porphyromonas","sp. V1-2 124","sp. V1-2 124",NA,NA,NA,NA,NA,NA,NA
"347","Porphyromonadaceae","Porphyromonas","sp. V1-2 512","sp. V1-2 512",NA,NA,NA,NA,NA,NA,NA
"348","Spirochaetaceae","Treponema","socranskii ss. buccale HOT 769 V1-2 165","socranskii ss. buccale HOT 769 V1-2 165",NA,NA,NA,NA,NA,NA,NA
"349","Spirochaetaceae","Treponema","sp. V1-2 425","sp. V1-2 425",NA,NA,NA,NA,NA,NA,NA
"350","Veillonellaceae","Veillonellaceae G1","sp. HOT 918 V1-2 260","sp. HOT 918 V1-2 260",NA,NA,NA,NA,NA,NA,NA
"351","Desulfobulbaceae","Desulfobulbus","oral taxon 041","oral taxon 041",NA,NA,NA,NA,NA,NA,NA
"352","Eubacteriaceae","Eubacterium","minutum","minutum",NA,NA,NA,NA,NA,NA,NA
"353","Eubacteriaceae","Eubacterium","saphenum",NA,NA,NA,NA,NA,NA,NA,NA
"354","Peptostreptococcaceae","Filifactor","alocis",NA,NA,NA,NA,NA,NA,NA,NA
"355","Fusobacteriaceae","Fusobacterium","nucleatum subsp. vincentii","nucleatum subsp. vincentii",NA,NA,NA,NA,NA,NA,NA
"356","Peptostreptococcaceae","Mogibacterium","timidum",NA,NA,NA,NA,NA,NA,NA,NA
"357","Peptostreptococcaceae","Peptostreptococcus","oral taxon 103","oral taxon 103",NA,NA,NA,NA,NA,NA,NA
"358","Porphyromonadaceae","Porphyromonas","endodontalis",NA,NA,NA,NA,NA,NA,NA,NA
"359","Porphyromonadaceae","Porphyromonas","gingivalis",NA,NA,NA,NA,NA,NA,NA,NA
"360","Prevotellaceae","Prevotella","oral taxon 526","oral taxon 526",NA,NA,NA,NA,NA,NA,NA
"361","Streptococcaceae","Streptococcus","constellatus",NA,NA,NA,NA,NA,NA,NA,NA
"362","Synergistaceae","Synergistetes","oral taxon 360","oral taxon 360",NA,NA,NA,NA,NA,NA,NA
"363","Synergistaceae","Synergistetes","oral taxon 361","oral taxon 361",NA,NA,NA,NA,NA,NA,NA
"364","Synergistaceae","Synergistetes","oral taxon 363","oral taxon 363",NA,NA,NA,NA,NA,NA,NA
"365","Synergistaceae","Synergistetes","oral taxon 452","oral taxon 452",NA,NA,NA,NA,NA,NA,NA
"366","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"367","Spirochaetaceae","Treponema","denticola",NA,NA,NA,NA,NA,NA,NA,NA
"368","Spirochaetaceae","Treponema","maltophilum",NA,NA,NA,NA,NA,NA,NA,NA
"369","Spirochaetaceae","Treponema","parvum","parvum",NA,NA,NA,NA,NA,NA,NA
"370","Spirochaetaceae","Treponema","socranskii",NA,NA,NA,NA,NA,NA,NA,NA
"371","Bacteroidaceae","Bacteroidetes_G_2","sp. oral taxon 274","sp. oral taxon 274",NA,NA,NA,NA,NA,NA,NA
"372","Peptostreptococcaceae","Filifactor","alocis oral taxon 539","alocis oral taxon 539",NA,NA,NA,NA,NA,NA,NA
"373","Fusobacteriaceae","Fusobacterium","nucleatum subsp. vincentii oral taxon 200","nucleatum subsp. vincentii oral taxon 200",NA,NA,NA,NA,NA,NA,NA
"374","Fusobacteriaceae","Fusobacterium","sp. oral taxon 203","sp. oral taxon 203",NA,NA,NA,NA,NA,NA,NA
"375","Peptostreptococcaceae","Parvimonas","micra oral taxon 111","micra oral taxon 111",NA,NA,NA,NA,NA,NA,NA
"376","Porphyromonadaceae","Porphyromonas","endodontalis oral taxon 273","endodontalis oral taxon 273",NA,NA,NA,NA,NA,NA,NA
"377","Pseudomonadaceae","Pseudomonas","aeruginosa","Pseudomonas aeruginosa",NA,NA,NA,NA,NA,NA,NA
"378","Peptostreptococcaceae","Dialister","invisus","Dialister invisus",NA,NA,NA,NA,NA,NA,NA
"379","Acidaminococcaceae","Filifactor","alocis","Filifactor alocis",NA,NA,NA,NA,NA,NA,NA
"380","Peptostreptococcaceae","Peptostreptococcus","unclassified","unclassified",NA,NA,NA,NA,NA,NA,NA
"381","Streptococcaceae","Streptococcus","constellatus",NA,NA,NA,NA,NA,NA,NA,NA
"382","Streptococcaceae","Streptococcus","intermedius","Streptococcus intermedius constellatus",NA,NA,NA,NA,NA,NA,NA
"383","Synergistaceae","Synergistes","unclassified","unclassified",NA,NA,NA,NA,NA,NA,NA
"384","TM7aceae","TM7","401H12","TM7 401H12",NA,NA,NA,NA,NA,NA,NA
"385","Treponemataceae","Treponema","unclassified","unclassified",NA,NA,NA,NA,NA,NA,NA
"386","Porphyromonadaceae","Porphyromonas","gingivalis","Porphyromonas gingivalis",NA,NA,NA,NA,NA,NA,NA
"387","Tannerellaceae","Tannerella","forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"388","Actinomycetaceae","Actinomyces","cardiffensis","Actinomyces cardiffensis",NA,NA,NA,NA,NA,NA,NA
"389","Chloroflexaceae","Chloroflexus","sp.","Chloroflexus genomosp. P1",NA,NA,NA,NA,NA,NA,NA
"390","Desulfobulbaceae","Desulfobulbus","sp.","Desulfobulbus Other",NA,NA,NA,NA,NA,NA,NA
"391","Desulfobulbaceae","Desulfobulbus","Desulfobulbus R004","Desulfobulbus R004",NA,NA,NA,NA,NA,NA,NA
"392","Eubacteriaceae","Eubacterium","sp.","Eubacterium Other",NA,NA,NA,NA,NA,NA,NA
"393","Eubacteriaceae","Eubacterium","minutum","Eubacterium minutum",NA,NA,NA,NA,NA,NA,NA
"394","Eubacteriaceae","Eubacterium","saphenum","Eubacterium saphenum",NA,NA,NA,NA,NA,NA,NA
"395","Acidaminococcaceae","Filifactor","sp.","Filifactor Other",NA,NA,NA,NA,NA,NA,NA
"396","Acidaminococcaceae","Filifactor","alocis",NA,NA,NA,NA,NA,NA,NA,NA
"397","Streptococcaceae","Streptococcus","intermedius constellatus",NA,NA,NA,NA,NA,NA,NA,NA
"398","Synergistaceae","Synergistes","sp.","Synergistes Other",NA,NA,NA,NA,NA,NA,NA
"399","Synergistaceae","Synergistes","Synergistes oral taxon 362","Synergistes oral taxon 362",NA,NA,NA,NA,NA,NA,NA
"400","Synergistaceae","Synergistes","Synergistes oral taxon 363","Synergistes oral taxon 363",NA,NA,NA,NA,NA,NA,NA
